Date,Open,High,Low,Close,Adj Close,Volume
2024-02-12,1.520000,1.800000,1.520000,1.770000,1.770000,25277700
2024-02-13,1.680000,1.750000,1.590000,1.620000,1.620000,18136200
2024-02-14,1.670000,1.720000,1.580000,1.590000,1.590000,10425900
2024-02-15,1.620000,1.670000,1.570000,1.600000,1.600000,9194800
2024-02-16,1.590000,1.610000,1.530000,1.540000,1.540000,12663800
2024-02-20,1.520000,1.610000,1.490000,1.550000,1.550000,12076700
2024-02-21,1.560000,1.590000,1.510000,1.550000,1.550000,7176800
2024-02-22,1.530000,1.570000,1.490000,1.540000,1.540000,9428100
2024-02-23,1.540000,1.560000,1.490000,1.500000,1.500000,8462700
2024-02-26,1.490000,1.530000,1.460000,1.480000,1.480000,12289700
2024-02-27,1.510000,1.560000,1.490000,1.540000,1.540000,9145600
2024-02-28,1.570000,1.630000,1.540000,1.610000,1.610000,8192400
2024-02-29,1.650000,1.670000,1.560000,1.620000,1.620000,11029300
2024-03-01,1.610000,1.670000,1.550000,1.620000,1.620000,9001900
2024-03-04,1.600000,1.740000,1.550000,1.690000,1.690000,12476900
2024-03-05,1.660000,1.800000,1.650000,1.700000,1.700000,12148800
2024-03-06,1.770000,1.780000,1.620000,1.710000,1.710000,12433100
2024-03-07,1.720000,1.780000,1.680000,1.730000,1.730000,7764800
2024-03-08,1.750000,1.830000,1.730000,1.820000,1.820000,11936600
2024-03-11,1.810000,1.880000,1.750000,1.760000,1.760000,14143300
2024-03-12,1.750000,1.770000,1.680000,1.720000,1.720000,7817500
2024-03-13,1.690000,1.750000,1.620000,1.640000,1.640000,10233900
2024-03-14,1.640000,1.640000,1.550000,1.580000,1.580000,9681200
2024-03-15,1.560000,1.620000,1.490000,1.570000,1.570000,28523900
2024-03-18,1.590000,1.650000,1.530000,1.610000,1.610000,8077500
2024-03-19,1.580000,1.750000,1.540000,1.690000,1.690000,15812700
2024-03-20,1.690000,1.790000,1.660000,1.770000,1.770000,12903200
2024-03-21,1.790000,1.800000,1.700000,1.710000,1.710000,13691400
2024-03-22,1.720000,1.800000,1.610000,1.610000,1.610000,18696800
2024-03-25,1.630000,1.730000,1.600000,1.610000,1.610000,12399300
2024-03-26,1.610000,1.680000,1.550000,1.550000,1.550000,11963100
2024-03-27,1.580000,1.610000,1.550000,1.580000,1.580000,10530200
2024-03-28,1.580000,1.620000,1.540000,1.560000,1.560000,8279000
2024-04-01,1.540000,1.580000,1.460000,1.460000,1.460000,11168000
2024-04-02,1.450000,1.460000,1.370000,1.410000,1.410000,13235600
2024-04-03,1.370000,1.430000,1.360000,1.420000,1.420000,7353200
2024-04-04,1.420000,1.440000,1.330000,1.340000,1.340000,11527700
2024-04-05,1.340000,1.360000,1.270000,1.340000,1.340000,10111200
2024-04-08,1.370000,1.410000,1.350000,1.370000,1.370000,6917000
2024-04-09,1.380000,1.480000,1.370000,1.460000,1.460000,10178400
2024-04-10,1.400000,1.400000,1.350000,1.380000,1.380000,9909200
2024-04-11,1.410000,1.460000,1.370000,1.440000,1.440000,7700600
2024-04-12,1.420000,1.420000,1.370000,1.380000,1.380000,7163300
2024-04-15,1.390000,1.420000,1.350000,1.370000,1.370000,8368100
2024-04-16,1.370000,1.390000,1.320000,1.330000,1.330000,6886700
2024-04-17,1.330000,1.370000,1.320000,1.320000,1.320000,7848900
2024-04-18,1.320000,1.360000,1.290000,1.320000,1.320000,6019500
2024-04-19,1.320000,1.340000,1.280000,1.310000,1.310000,7955100
2024-04-22,1.300000,1.390000,1.300000,1.360000,1.360000,11101800
2024-04-23,1.390000,1.430000,1.360000,1.360000,1.360000,8672100
2024-04-24,1.370000,1.380000,1.280000,1.290000,1.290000,11687100
2024-04-25,1.280000,1.290000,1.200000,1.210000,1.210000,12247400
2024-04-26,1.230000,1.260000,1.210000,1.210000,1.210000,6536900
2024-04-29,1.240000,1.290000,1.220000,1.220000,1.220000,7119200
2024-04-30,1.230000,1.250000,1.150000,1.190000,1.190000,20051100
2024-05-01,1.130000,1.260000,1.100000,1.210000,1.210000,16413800
2024-05-02,1.230000,1.300000,1.190000,1.290000,1.290000,9221700
2024-05-03,1.380000,1.440000,1.310000,1.320000,1.320000,14134300
2024-05-06,1.330000,1.370000,1.290000,1.320000,1.320000,13415000
2024-05-07,1.320000,1.360000,1.300000,1.300000,1.300000,9963500
2024-05-08,1.290000,1.310000,1.270000,1.280000,1.280000,6890200
